module,layer,param_count,kurtosis
self_attn.q_proj,0,26214400,130.83713963078688
self_attn.k_proj,0,26214400,64.52939795597361
self_attn.v_proj,0,26214400,6.886821964622624
self_attn.o_proj,0,26214400,27.589738715545355
mlp.gate_proj,0,70778880,6.313392220689957
mlp.down_proj,0,70778880,14.052663070569466
mlp.up_proj,0,70778880,3.249017058311768
self_attn.q_proj,1,26214400,13.08326186837005
self_attn.k_proj,1,26214400,11.090631672369472
self_attn.v_proj,1,26214400,4.5346238983368945
self_attn.o_proj,1,26214400,12.902235283117223
mlp.gate_proj,1,70778880,3.722426098049931
mlp.down_proj,1,70778880,6.31968660475201
mlp.up_proj,1,70778880,3.1117683059926806
self_attn.q_proj,2,26214400,7.525079013280852
self_attn.k_proj,2,26214400,5.773346598858214
self_attn.v_proj,2,26214400,3.2075231160174624
self_attn.o_proj,2,26214400,5.9170687265908235
mlp.gate_proj,2,70778880,3.2308532400372494
mlp.down_proj,2,70778880,3.275261780947932
mlp.up_proj,2,70778880,3.080849335928324
self_attn.q_proj,3,26214400,8.390562250303343
self_attn.k_proj,3,26214400,5.7891896210301095
self_attn.v_proj,3,26214400,3.588921793712654
self_attn.o_proj,3,26214400,47.64313079806701
mlp.gate_proj,3,70778880,3.4501241375690457
mlp.down_proj,3,70778880,9.500845348313662
mlp.up_proj,3,70778880,3.2669610023884306
self_attn.q_proj,4,26214400,4.4551653725123055
self_attn.k_proj,4,26214400,4.573635068411043
self_attn.v_proj,4,26214400,3.234219982779673
self_attn.o_proj,4,26214400,4.84968615849468
mlp.gate_proj,4,70778880,3.1955631490833403
mlp.down_proj,4,70778880,3.1665068249588635
mlp.up_proj,4,70778880,3.095126478043274
self_attn.q_proj,5,26214400,4.949500834374297
self_attn.k_proj,5,26214400,4.8544486363668495
self_attn.v_proj,5,26214400,3.181611634064576
self_attn.o_proj,5,26214400,4.859526520116928
mlp.gate_proj,5,70778880,3.2403906037879353
mlp.down_proj,5,70778880,3.2328986745567874
mlp.up_proj,5,70778880,3.1187659555331035
self_attn.q_proj,6,26214400,4.49736449180947
self_attn.k_proj,6,26214400,4.544626995182409
self_attn.v_proj,6,26214400,3.1369344191217348
self_attn.o_proj,6,26214400,4.214262948729349
mlp.gate_proj,6,70778880,3.2443207674755223
mlp.down_proj,6,70778880,3.2297373677424512
mlp.up_proj,6,70778880,3.108046386120236
self_attn.q_proj,7,26214400,4.21756324679348
self_attn.k_proj,7,26214400,4.362283595211108
self_attn.v_proj,7,26214400,3.133032125857189
self_attn.o_proj,7,26214400,4.71536300013941
mlp.gate_proj,7,70778880,3.3936300161835935
mlp.down_proj,7,70778880,4.681598217347249
mlp.up_proj,7,70778880,3.1168342824347484
self_attn.q_proj,8,26214400,4.2598895714391
self_attn.k_proj,8,26214400,4.405596656467856
self_attn.v_proj,8,26214400,3.1597576159760687
self_attn.o_proj,8,26214400,5.974815297237448
mlp.gate_proj,8,70778880,3.349456358964778
mlp.down_proj,8,70778880,3.625380400230104
mlp.up_proj,8,70778880,3.169466057423486
self_attn.q_proj,9,26214400,4.848214892015664
self_attn.k_proj,9,26214400,4.253390650850058
self_attn.v_proj,9,26214400,3.204364379777786
self_attn.o_proj,9,26214400,4.723760427466953
mlp.gate_proj,9,70778880,3.3583231350160534
mlp.down_proj,9,70778880,3.644571413205425
mlp.up_proj,9,70778880,3.1575336738495885
self_attn.q_proj,10,26214400,4.303988247000512
self_attn.k_proj,10,26214400,4.424770246783603
self_attn.v_proj,10,26214400,3.2424239952907317
self_attn.o_proj,10,26214400,4.358131861560106
mlp.gate_proj,10,70778880,3.3639723293555432
mlp.down_proj,10,70778880,3.7832580141204364
mlp.up_proj,10,70778880,3.152513533783804
self_attn.q_proj,11,26214400,4.002172186447971
self_attn.k_proj,11,26214400,4.13048267998045
self_attn.v_proj,11,26214400,3.1947096505061916
self_attn.o_proj,11,26214400,3.9787550573897312
mlp.gate_proj,11,70778880,3.4940067849359866
mlp.down_proj,11,70778880,3.5196599441868432
mlp.up_proj,11,70778880,3.178196654496327
self_attn.q_proj,12,26214400,4.006244550550894
self_attn.k_proj,12,26214400,4.189627180144341
self_attn.v_proj,12,26214400,3.196419036679571
self_attn.o_proj,12,26214400,4.060156170436918
mlp.gate_proj,12,70778880,3.521030510832614
mlp.down_proj,12,70778880,3.6228070645744403
mlp.up_proj,12,70778880,3.141626426727454
self_attn.q_proj,13,26214400,4.4299117684795135
self_attn.k_proj,13,26214400,4.447280781844841
self_attn.v_proj,13,26214400,3.255516211444412
self_attn.o_proj,13,26214400,4.708008374501372
mlp.gate_proj,13,70778880,3.4971410209159255
mlp.down_proj,13,70778880,3.3872878087348695
mlp.up_proj,13,70778880,3.1080582609263234
self_attn.q_proj,14,26214400,3.9606859057598074
self_attn.k_proj,14,26214400,4.124556259461563
self_attn.v_proj,14,26214400,3.17076299282502
self_attn.o_proj,14,26214400,4.786041526677701
mlp.gate_proj,14,70778880,3.397050603770907
mlp.down_proj,14,70778880,3.3989561080039383
mlp.up_proj,14,70778880,3.1233856872096504
self_attn.q_proj,15,26214400,3.900748740594978
self_attn.k_proj,15,26214400,4.1431620457492055
self_attn.v_proj,15,26214400,3.210370125926212
self_attn.o_proj,15,26214400,3.6813562849865957
mlp.gate_proj,15,70778880,3.522446408932607
mlp.down_proj,15,70778880,3.367632157102179
mlp.up_proj,15,70778880,3.1566055735186187
self_attn.q_proj,16,26214400,4.015306292045239
self_attn.k_proj,16,26214400,4.115485197768421
self_attn.v_proj,16,26214400,3.208079856248501
self_attn.o_proj,16,26214400,6.091573402332714
mlp.gate_proj,16,70778880,3.4666247117190028
mlp.down_proj,16,70778880,3.2793004568888255
mlp.up_proj,16,70778880,3.093354071104304
self_attn.q_proj,17,26214400,3.8968048183620883
self_attn.k_proj,17,26214400,4.119076165517264
self_attn.v_proj,17,26214400,3.1923282596666613
self_attn.o_proj,17,26214400,4.002000642357157
mlp.gate_proj,17,70778880,3.4159640675062617
mlp.down_proj,17,70778880,3.9286620564322408
mlp.up_proj,17,70778880,3.133833524652865
self_attn.q_proj,18,26214400,3.7631441598780113
self_attn.k_proj,18,26214400,3.909797088561795
self_attn.v_proj,18,26214400,3.1055448499499003
self_attn.o_proj,18,26214400,3.8858433468481586
mlp.gate_proj,18,70778880,3.353831686213448
mlp.down_proj,18,70778880,3.206519627778468
mlp.up_proj,18,70778880,3.1039488066796554
self_attn.q_proj,19,26214400,3.9938806997987055
self_attn.k_proj,19,26214400,4.052765581853566
self_attn.v_proj,19,26214400,3.1198698064368555
self_attn.o_proj,19,26214400,3.9114055177110076
mlp.gate_proj,19,70778880,3.3847912025490117
mlp.down_proj,19,70778880,3.0971674608421758
mlp.up_proj,19,70778880,3.089232912233438
self_attn.q_proj,20,26214400,3.7925515574012776
self_attn.k_proj,20,26214400,3.947109397028816
self_attn.v_proj,20,26214400,3.116102509566827
self_attn.o_proj,20,26214400,4.149188151567589
mlp.gate_proj,20,70778880,3.376316700726662
mlp.down_proj,20,70778880,3.2922558293785413
mlp.up_proj,20,70778880,3.1405187056523607
self_attn.q_proj,21,26214400,3.984176450445595
self_attn.k_proj,21,26214400,4.1638067788358715
self_attn.v_proj,21,26214400,3.090195036594181
self_attn.o_proj,21,26214400,4.137223077108645
mlp.gate_proj,21,70778880,3.3018414645837937
mlp.down_proj,21,70778880,3.223733999187667
mlp.up_proj,21,70778880,3.048963194698438
self_attn.q_proj,22,26214400,3.605910793407125
self_attn.k_proj,22,26214400,3.7222669512437996
self_attn.v_proj,22,26214400,3.0891454541465455
self_attn.o_proj,22,26214400,3.7049986475082526
mlp.gate_proj,22,70778880,3.26893401295517
mlp.down_proj,22,70778880,3.2725552041768626
mlp.up_proj,22,70778880,3.064189693523624
self_attn.q_proj,23,26214400,3.7204906793103816
self_attn.k_proj,23,26214400,3.910896881454506
self_attn.v_proj,23,26214400,3.117658875099658
self_attn.o_proj,23,26214400,3.7576727840829602
mlp.gate_proj,23,70778880,3.238691402749831
mlp.down_proj,23,70778880,3.3791804748048095
mlp.up_proj,23,70778880,3.0380139216222206
self_attn.q_proj,24,26214400,3.9068847347530693
self_attn.k_proj,24,26214400,3.788283257206423
self_attn.v_proj,24,26214400,3.0860331622448647
self_attn.o_proj,24,26214400,8.464742855236834
mlp.gate_proj,24,70778880,3.181030610905902
mlp.down_proj,24,70778880,3.179330304089504
mlp.up_proj,24,70778880,3.051218091213576
self_attn.q_proj,25,26214400,3.7105399549947515
self_attn.k_proj,25,26214400,3.8724433992574077
self_attn.v_proj,25,26214400,3.081358429754507
self_attn.o_proj,25,26214400,3.3975478304093554
mlp.gate_proj,25,70778880,3.1751834555934093
mlp.down_proj,25,70778880,3.0716347899566943
mlp.up_proj,25,70778880,3.048168807880293
self_attn.q_proj,26,26214400,3.710783805147631
self_attn.k_proj,26,26214400,4.002086270347984
self_attn.v_proj,26,26214400,3.1605120215671305
self_attn.o_proj,26,26214400,4.555290016948518
mlp.gate_proj,26,70778880,3.1475936238919386
mlp.down_proj,26,70778880,3.2339799975026913
mlp.up_proj,26,70778880,3.0361184315449607
self_attn.q_proj,27,26214400,3.6128496367100977
self_attn.k_proj,27,26214400,3.7650393075529607
self_attn.v_proj,27,26214400,3.0835869745815465
self_attn.o_proj,27,26214400,3.1842078993627765
mlp.gate_proj,27,70778880,3.157584369714205
mlp.down_proj,27,70778880,3.0598856754149213
mlp.up_proj,27,70778880,3.0251719970979862
self_attn.q_proj,28,26214400,3.7117594247355523
self_attn.k_proj,28,26214400,3.814974524914145
self_attn.v_proj,28,26214400,3.0727206019189923
self_attn.o_proj,28,26214400,13.607847890990024
mlp.gate_proj,28,70778880,3.1952669014106267
mlp.down_proj,28,70778880,3.1706288688125244
mlp.up_proj,28,70778880,3.0860375775511315
self_attn.q_proj,29,26214400,3.5461431186652543
self_attn.k_proj,29,26214400,3.6549022643653717
self_attn.v_proj,29,26214400,3.0545580329471944
self_attn.o_proj,29,26214400,3.3875154692277696
mlp.gate_proj,29,70778880,3.1642828381065327
mlp.down_proj,29,70778880,3.2209807909367822
mlp.up_proj,29,70778880,3.030916472520534
self_attn.q_proj,30,26214400,3.578559751573899
self_attn.k_proj,30,26214400,3.663534054993735
self_attn.v_proj,30,26214400,3.0946710011424896
self_attn.o_proj,30,26214400,3.422926202998674
mlp.gate_proj,30,70778880,3.1901158459098817
mlp.down_proj,30,70778880,3.146555838960171
mlp.up_proj,30,70778880,3.0423417803431696
self_attn.q_proj,31,26214400,3.5746784321998972
self_attn.k_proj,31,26214400,3.7005669290359076
self_attn.v_proj,31,26214400,3.082027691980877
self_attn.o_proj,31,26214400,3.1539103185663726
mlp.gate_proj,31,70778880,3.231870053797732
mlp.down_proj,31,70778880,3.1999752212382955
mlp.up_proj,31,70778880,3.026023815726937
self_attn.q_proj,32,26214400,3.648626260402023
self_attn.k_proj,32,26214400,3.8127163060765277
self_attn.v_proj,32,26214400,3.0790647819921895
self_attn.o_proj,32,26214400,3.1787468600069664
mlp.gate_proj,32,70778880,3.2412875372910315
mlp.down_proj,32,70778880,3.218702971060462
mlp.up_proj,32,70778880,3.037189293635506
self_attn.q_proj,33,26214400,3.606294432238728
self_attn.k_proj,33,26214400,3.7002149416408994
self_attn.v_proj,33,26214400,3.064640666796211
self_attn.o_proj,33,26214400,3.782551729012757
mlp.gate_proj,33,70778880,3.2633987551023353
mlp.down_proj,33,70778880,3.368253222560591
mlp.up_proj,33,70778880,3.0444602722176484
self_attn.q_proj,34,26214400,3.7008888716634907
self_attn.k_proj,34,26214400,3.9016793791258264
self_attn.v_proj,34,26214400,3.0699658643467256
self_attn.o_proj,34,26214400,3.089490962048976
mlp.gate_proj,34,70778880,3.276419555666429
mlp.down_proj,34,70778880,3.0853296262737886
mlp.up_proj,34,70778880,3.052189834731244
self_attn.q_proj,35,26214400,3.695354537166732
self_attn.k_proj,35,26214400,3.877189056760186
self_attn.v_proj,35,26214400,3.08790764923557
self_attn.o_proj,35,26214400,3.151090877754406
mlp.gate_proj,35,70778880,3.2620195372275735
mlp.down_proj,35,70778880,3.0694624239201405
mlp.up_proj,35,70778880,3.0455443318297197
self_attn.q_proj,36,26214400,3.642855649545628
self_attn.k_proj,36,26214400,3.833528981728686
self_attn.v_proj,36,26214400,3.1403323886474728
self_attn.o_proj,36,26214400,3.2896862307779187
mlp.gate_proj,36,70778880,3.330972969715487
mlp.down_proj,36,70778880,3.175252880494978
mlp.up_proj,36,70778880,3.056325074580746
self_attn.q_proj,37,26214400,3.957392821774528
self_attn.k_proj,37,26214400,4.254668164665942
self_attn.v_proj,37,26214400,3.1504427946267484
self_attn.o_proj,37,26214400,5.5332901959324925
mlp.gate_proj,37,70778880,3.6163712417859415
mlp.down_proj,37,70778880,3.3536157623483787
mlp.up_proj,37,70778880,3.093066664166201
self_attn.q_proj,38,26214400,4.022298271040198
self_attn.k_proj,38,26214400,4.238062894882317
self_attn.v_proj,38,26214400,3.168706955380703
self_attn.o_proj,38,26214400,4.620147934426817
mlp.gate_proj,38,70778880,4.20085133702986
mlp.down_proj,38,70778880,4.5711958175866725
mlp.up_proj,38,70778880,3.990713763191592
self_attn.q_proj,39,26214400,4.085587322066365
self_attn.k_proj,39,26214400,4.530434964667962
self_attn.v_proj,39,26214400,5.760929836951725
self_attn.o_proj,39,26214400,62.18514136779736
mlp.gate_proj,39,70778880,3.535894804400329
mlp.down_proj,39,70778880,9.784047895918558
mlp.up_proj,39,70778880,4.174917959911426
